koppchensee,52.62579218580716,13.370690682368902,lake,4.2335,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
ostsee,52.43565475834245,13.419646612521063,pond,1.6681,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
großer spektesee,52.54492242113781,13.1651980524292,lake,6.2203,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
panzersee,52.55543136188088,13.1297270765256,pond,1.739,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
heiligensee,52.604252265461575,13.21504433036829,lake,31.01,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
nieder neuendorfer see,52.61526972582581,13.212378595935254,lake,90.7937,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
sausuhlensee,52.514080413430946,13.250154332888195,lake,0.9926,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
sickerbecken 3,52.55840622852061,13.250047337772548,pond,0.8864,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
sickerbecken 2,52.55700505058471,13.247613814611478,pond,0.7656,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
sickerbecken 1,52.55845053597774,13.246845504678108,pond,0.8062,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
septimerbecken,52.56597663301063,13.341750797625012,pond,308.0,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
schwanenteich,52.57737933486697,13.345185702582976,pond,0.3799,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
ententeich,52.48291563579905,13.34145135909272,pond,232.0,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
messelteich,52.46587067882823,13.29055640594896,pond,0.0516,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
spektelake,52.548796940093354,13.146242533875112,lake,7.4363,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
toter mantel,52.5146053692228,13.208499462331805,pond,1.5539,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
barssee,52.47741205903203,13.215316828177892,pond,0.8558,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
engelbecken,52.50578838929404,13.418286885671254,pond,916.0,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
koldischteich,52.579072115925456,13.325711567580976,pond,0.5262,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
kauzchensteigteich,52.46438738894106,13.27158935697166,pond,0.2065,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
lindenhofweiher,52.45681701252365,13.3616763593158,pond,0.9486,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
dorfteich bohnsdorf,52.39940344346359,13.555183296817283,pond,0.1085,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
großer zug,52.34424519102591,13.655110256315725,lake,101.8655,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
mittelfeldteich,52.61204563097512,13.23021079654936,pond,0.4268,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
fennpfuhl,52.450764044461216,13.444141483934548,pond,534.0,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
krummer pfuhl,52.457828237174674,13.366360131620969,pond,0.2265,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
baketeich,52.44450147536891,13.32582851022448,pond,0.4291,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
gehrensee,52.57624794016555,13.561620511589528,pond,1.0024,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
himmelsauge,52.48038666597781,13.215520764949686,pond,22.0,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
