centroid_lon,centroid_lat,source
13.52048443768113,52.42297150497401,OSM lakes
13.192368973086964,52.424096923684246,OSM lakes
13.60202879108016,52.49869322465134,OSM lakes
-72.77227821839506,41.630830909395215,OSM lakes
-72.75559449768001,41.62937051931771,OSM lakes
13.427840622922089,52.441534987127845,OSM lakes
13.351709936245218,52.518145647360775,OSM lakes
13.29459981043501,52.62176996756455,OSM lakes
13.491611914203546,52.41004184949291,OSM lakes
13.370021916089588,52.58425600045801,OSM lakes
13.49319874812551,52.41097437407379,OSM lakes
13.35664839639846,52.44029691909661,OSM lakes
13.388824707827968,52.44270005505095,OSM lakes
13.3889363630577,52.44219327576477,OSM lakes
13.390142926585533,52.44198994400436,OSM lakes
13.404093115370337,52.43882245542607,OSM lakes
13.40625734473039,52.44041755651334,OSM lakes
13.495494429252783,52.41824042495188,OSM lakes
13.414460512618149,52.37691247909901,OSM lakes
13.446013125970737,52.45837795243375,OSM lakes
13.285889460315545,52.64499781109656,OSM lakes
13.27248880589734,52.6351420628503,OSM lakes
13.412625485133846,52.42373187328514,OSM lakes
13.397987103179814,52.43922719586698,OSM lakes
-72.73135043632264,41.64301974967257,OSM lakes
13.412055936378058,52.482281309063936,OSM lakes
-72.75237646030729,41.63872495598584,OSM lakes
-71.6308334193685,42.357927588467696,OSM lakes
13.357372316546495,52.44966000460186,OSM lakes
13.230840363774533,52.49845237932054,OSM lakes
13.39964738178064,52.4390659689826,OSM lakes
13.4095636178344,52.43552114764616,OSM lakes
13.40883033661809,52.43571733765813,OSM lakes
13.35026153779426,52.45262032428053,OSM lakes
13.517685743221296,52.405665654413035,OSM lakes
13.399684449825154,52.51858614749075,OSM lakes
13.288089271705111,52.641955240171086,OSM lakes
13.273767913437643,52.63884205097789,OSM lakes
13.281825983997273,52.64047015171692,OSM lakes
13.288871967172408,52.63868642219782,OSM lakes
13.648328022996775,52.43754427970835,OSM lakes
13.259918312790427,52.47009067730789,OSM lakes
13.361931268669204,52.402601611280296,OSM lakes
-72.81307805948985,41.57186367138679,OSM lakes
-72.76840583492806,41.601739894413136,OSM lakes
13.306199339775302,52.60651822930944,OSM lakes
13.306657672053664,52.606667271867536,OSM lakes
13.349059159726847,52.58099504169921,OSM lakes
13.414193092758222,52.44117383279016,OSM lakes
13.408815183617795,52.44574475869724,OSM lakes
13.614603017594204,52.51420002341415,OSM lakes
13.316806632986248,52.407220225641,OSM lakes
13.52901131808916,52.49879971107824,OSM lakes
13.433918722369718,52.44981882419001,OSM lakes
13.433568149219028,52.4485570090255,OSM lakes
-72.78941826746531,41.5987899031381,OSM lakes
13.517308727976296,52.41969563063921,OSM lakes
13.436225386087854,52.606650812221886,OSM lakes
13.243742524693417,52.5227829742959,OSM lakes
13.491823640419817,52.56120231347808,OSM lakes
13.387001439282624,52.38933503768517,OSM lakes
13.49507149618514,52.60377693586004,OSM lakes
13.312687317775609,52.61186079846405,OSM lakes
13.312192497113642,52.61188364369321,OSM lakes
13.20113683675654,52.57192390962515,OSM lakes
13.327721880525434,52.59451881305653,OSM lakes
13.097438487320217,52.41444277012945,OSM lakes
13.298466001109842,52.6400728704628,OSM lakes
13.464900291403936,52.61443375680092,OSM lakes
13.487229628706332,52.58546045169808,OSM lakes
13.313495576034656,52.62434629061447,OSM lakes
13.438847826751614,52.60463185629759,OSM lakes
13.461152639711113,52.62418355899262,OSM lakes
13.492630916055766,52.64905618342208,OSM lakes
13.32540028848881,52.59558442218234,OSM lakes
13.51477598223112,52.575224972062635,OSM lakes
13.331146161015168,52.576179778542425,OSM lakes
13.186668740578058,52.569136583454,OSM lakes
-72.76026643431351,41.64604820309194,OSM lakes
-72.74375330631472,41.609571969196566,OSM lakes
13.441889525396794,52.47514353175858,OSM lakes
13.299370239113266,52.45334693396082,OSM lakes
13.28719554948171,52.46556653446333,OSM lakes
13.485958060366018,52.454878383386585,OSM lakes
13.304654280522897,52.45586267085825,OSM lakes
13.308758153145527,52.45201802566318,OSM lakes
13.147303400151085,52.39654481941829,OSM lakes
13.34277843148746,52.41427366268478,OSM lakes
-72.74227631979728,41.6349169413994,OSM lakes
13.228270392175316,52.62141375472316,OSM lakes
13.621085089251002,52.52541807592829,OSM lakes
13.21383267241292,52.58696161904411,OSM lakes
-72.82330066153034,41.56926914978467,OSM lakes
13.478128989722372,52.51374975042849,OSM lakes
13.129654966774222,52.43947817505968,OSM lakes
13.132966872834697,52.43921043923741,OSM lakes
13.127399663976451,52.43284090373702,OSM lakes
13.13421158282701,52.43333048740896,OSM lakes
13.537013772063393,52.58250802655481,OSM lakes
-72.76425054077374,41.64119060776681,OSM lakes
-71.67345869463249,42.393124515870994,OSM lakes
13.313435639734491,52.54899212835573,OSM lakes
13.480945973787184,52.57723927768913,OSM lakes
13.53447555999204,52.563288360893914,OSM lakes
13.721509044909231,52.42794063753413,OSM lakes
13.285185957561811,52.43296948172681,OSM lakes
13.205465764294413,52.42642388738775,OSM lakes
13.28284697174778,52.542785215042656,OSM lakes
13.33245358375964,52.58926599802063,OSM lakes
