id,name,brand,operator,address,latitude,longitude,district,district_id,neighborhood,neighborhood_id,opening_hours,car_wash,compressed_air,wheelchair,fuel:diesel,fuel:octane_95,geometry_wkt
6432892078,unknown gas station,,,,52.4345993,13.5351603,Treptow-Köpenick,11009009,Adlershof,0907,,,,,,,POINT (13.53516 52.434599)
6432892079,unknown gas station,,,,52.4346263,13.535122,Treptow-Köpenick,11009009,Adlershof,0907,,,,,,,POINT (13.535122 52.434626)
6432892080,unknown gas station,,,,52.4346533,13.5350838,Treptow-Köpenick,11009009,Adlershof,0907,,,,,,,POINT (13.535084 52.434653)
6433869376,unknown gas station,,Allego,,52.4801403,13.4755317,Treptow-Köpenick,11009009,Plänterwald,0902,,,,,,,POINT (13.475532 52.48014)
6447338160,unknown gas station,,efacec,,52.4549571,13.3385515,Steglitz-Zehlendorf,11006006,Steglitz,0601,,,,,,,POINT (13.338552 52.454957)
6490354728,unknown gas station,,Autohaus Wegener Berlin GmbH,,52.4466479,13.5903239,Treptow-Köpenick,11009009,Köpenick,0910,Mo-Fr 07:00-18:30; Sa 09:00-16:00; PH off,,,,,,POINT (13.590324 52.446648)
6490354729,unknown gas station,,Allego,,52.4514534,13.5834793,Treptow-Köpenick,11009009,Köpenick,0910,,,,,,,POINT (13.583479 52.451453)
6549783518,unknown gas station,,Landesvertretung Niedersachsen,,52.5123748,13.3776725,Mitte,11001001,Mitte,0101,,,,,,,POINT (13.377672 52.512375)
6652946054,Lidl Filiale Berlin-Pankow,,Lidl,,52.554289,13.4001656,Pankow,11003003,Prenzlauer Berg,0301,Mo-Sa 07:00-21:00,,,,,,POINT (13.400166 52.554289)
6653664255,unknown gas station,,Flottwell Berlin Hotel & Residenz am Park,,52.5002785,13.3706792,Mitte,11001001,Tiergarten,0104,,,,,,,POINT (13.370679 52.500278)
6723413305,unknown gas station,,Berliner Stadtwerke,,52.5130723,13.3897963,Mitte,11001001,Mitte,0101,,,,,,,POINT (13.389796 52.513072)
6726487222,unknown gas station,,Allego,,52.4821952,13.4409007,Neukölln,11008008,Neukölln,0801,24/7,,,,,,POINT (13.440901 52.482195)
6733242951,unknown gas station,,be emobil,,52.5017145,13.305582,Charlottenburg-Wilmersdorf,11004004,Charlottenburg,0401,,,,,,,POINT (13.305582 52.501714)
