lake_name,natural_type,water_type,wikidata,centroid_lon,centroid_lat,area_ha,data_source,last_updated
Weltenmeer,water,pond,,13.441962020870847,52.47498185418022,0.004730029509312907,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Griebnitzsee,water,lake,Q896125,13.122555274321451,52.40109706889285,56.99307460950218,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Teich an der Sensburger Allee,water,lake,,13.251844108463187,52.51114444568056,0.08406057819340776,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Olmteich,water,pond,,13.565916219165768,52.434760629642305,0.05339312475715596,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Amselteich,water,pond,,13.281985833223287,52.63545863909896,0.09333769387509486,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Stolzingteich,water,pond,,13.277215690539466,52.63599615971625,0.06337681035210113,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Ententeich,water,lake,Q115756993,13.462735609982905,52.62259677612834,3.2892009966109494,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Eckernpfuhl,water,pond,,13.394039616345198,52.4412557823901,0.4023241996791535,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Erlengrabenteich,water,pond,,13.221743371377169,52.61512345814856,0.6713694906927964,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Vierling,water,pond,,13.23834127624366,52.44613604764182,0.3924013496271571,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Hamburger Teich,water,pond,,13.445441953140982,52.56739012735381,0.17254936124225062,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Karutschenpfuhl,water,pond,,13.352636725639469,52.4515447943324,0.2959201472195077,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Hüttenteich,water,pond,Q112842575,13.23882174840547,52.469512591185335,0.031194559617947027,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Karpfenteich,water,pond,,13.295033396424225,52.524985438545485,2.216349386850729,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Hufeisenteich,water,pond,,13.448613308770833,52.448227022200285,0.13940254406451594,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
