,detail_url,name,type,price_euro,number_of_rooms,surface_m2,floor,street,house_number,postal_code,first_tenant,address,latitude,longitude,geometry,neighborhood_id,neighborhood,district,district_id,id
36,https://www.immowelt.de/expose/b9ca3a59-e73e-49f1-93b5-0e883678cc72,"Studio zur Miete 929 € 1 Zimmer 29,6 m² 5. Geschoss Friedenauer Höhe 16 Friedenau Berlin 12159",Studio,929.0,1.0,29.6,5,,,12159,no,", 12159 Friedenau Berlin",52.4729146,13.3369173,POINT (13.3369173 52.4729146),0702,Friedenau,Tempelhof-Schöneberg,11007007,20260206_10028
37,https://www.immowelt.de/expose/dab515fc-44d3-4739-8b04-4ab43299e68e,Wohnung zur Miete 849 € 1 Zimmer 30 m² 2. Geschoss Friedenauer Höhe 10 Friedenau Berlin 12159,Wohnung,849.0,1.0,30.0,2,,,12159,no,", 12159 Friedenau Berlin",52.4729146,13.3369173,POINT (13.3369173 52.4729146),0702,Friedenau,Tempelhof-Schöneberg,11007007,20260206_10029
38,https://www.immowelt.de/expose/03a3d0b6-9fab-413b-a999-7bbe254a38a9,"Wohnung zur Miete 1.399 € 2 Zimmer 65,8 m² 1. Geschoss frei ab sofort Friedenauer Höhe 16 Friedenau Berlin 12159",Wohnung,1399.0,2.0,65.8,1,,,12159,no,", 12159 Friedenau Berlin",52.4729146,13.3369173,POINT (13.3369173 52.4729146),0702,Friedenau,Tempelhof-Schöneberg,11007007,20260206_10030
39,https://www.immowelt.de/expose/47d058a8-2a34-41fc-a36d-fd936e11ffaa,"Wohnung zur Miete 1.459 € 2 Zimmer 66,3 m² 5. Geschoss frei ab sofort Friedenauer Höhe 10 Friedenau Berlin 12159",Wohnung,1459.0,2.0,66.3,5,,,12159,no,", 12159 Friedenau Berlin",52.4729146,13.3369173,POINT (13.3369173 52.4729146),0702,Friedenau,Tempelhof-Schöneberg,11007007,20260206_10031
40,https://www.immowelt.de/expose/f0d6115b-2f23-4979-9d91-dba13431b643,"Wohnung zur Miete 1.399 € 2 Zimmer 66,2 m² EG frei ab sofort Friedenauer Höhe 10 Friedenau Berlin 12159",Wohnung,1399.0,2.0,66.2,0,,,12159,no,", 12159 Friedenau Berlin",52.4729146,13.3369173,POINT (13.3369173 52.4729146),0702,Friedenau,Tempelhof-Schöneberg,11007007,20260206_10032
42,https://www.immowelt.de/expose/d5dbcc47-60a6-4a0a-8595-64c6f6b7a7a2,Wohnung zur Miete 2.300 € 3 Zimmer 115 m² EG Rauschener Allee 4 Westend Berlin 14055,Wohnung,2300.0,3.0,115.0,0,,,14055,no,", 14055 Westend Berlin",52.5050275,13.2781397,POINT (13.2781397 52.5050275),0405,Westend,Charlottenburg-Wilmersdorf,11004004,20260206_10033
43,https://www.immowelt.de/expose/1a7ea234-41d5-4852-947a-adced65d5e77,Studio zur Miete 1.287 € 2 Zimmer 48 m² 8. Geschoss frei ab 01.03.2026 Allee der Kosmonauten Friedrichsfelde Berlin 10315,Studio,1287.0,2.0,48.0,8,,,10315,no,", 10315 Friedrichsfelde Berlin",52.5029358,13.5205456,POINT (13.5205456 52.5029358),1101,Friedrichsfelde,Lichtenberg,11011011,20260206_10034
44,https://www.immowelt.de/expose/06174f5b-ae9d-446e-9468-5727af9870d4,"Studio zur Miete 530 € 1 Zimmer 11,8 m² 2. Geschoss frei ab 01.03.2026 Ostendstraße Oberschöneweide Berlin 12459",Studio,530.0,1.0,11.8,2,,,12459,no,", 12459 Oberschöneweide Berlin",52.468305,13.5147534,POINT (13.5147534 52.468305),0909,Oberschöneweide,Treptow-Köpenick,11009009,20260206_10035
47,https://www.immowelt.de/expose/6a482c75-01ae-4557-9cc4-978a39e50444,"Studio zur Miete 814 € 1 Zimmer 17,7 m² 3. Geschoss frei ab 01.04.2026 Rathenaustraße Oberschöneweide Berlin 12459",Studio,814.0,1.0,17.7,3,,,12459,no,", 12459 Oberschöneweide Berlin",52.468305,13.5147534,POINT (13.5147534 52.468305),0909,Oberschöneweide,Treptow-Köpenick,11009009,20260206_10036
49,https://www.immowelt.de/expose/923f6b84-63b6-4cf7-b032-2bafc8f06df7,"Wohnung zur Miete 1.350 € 2,5 Zimmer 65 m² EG Katharinenstrasse 21 Halensee Berlin 10711",Wohnung,1350.0,2.5,65.0,0,,,10711,no,", 10711 Halensee Berlin",52.4969326,13.2891237,POINT (13.2891237 52.4969326),0407,Halensee,Charlottenburg-Wilmersdorf,11004004,20260206_10037
