id,name,bakery_type,is_chain,brand_name,address,street,house_number,postal_code,phone,amenities,accessibility,opening_hours,sunday_opening,website,latitude,longitude,district,neighborhood,district_id,neighborhood_id,data_source
1213752400,Süßbrot,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 280, dtype: object Berlin",,,,,outdoor_seating,Fully Accessible,,,,52.557276200000004,13.2188795,Spandau,Hakenfelde,11005005,0507,OSM
1224573666,Steinecke,chain,True,Steinecke,"Breite Straße 26, postal_code    14199
postal_code      NaN
Name: 281, dtype: object Berlin",Breite Straße,26,14199,,Standard Bakery,Not Specified,Su 07:00-12:00; Mo-Fr 07:00-18:00; Sa 07:00-16:30,True,,52.4750565,13.2909894,Charlottenburg-Wilmersdorf,Schmargendorf,11004004,0403,OSM
1234657643,Schäfer's,chain,True,Schäfer's,"nan nan, postal_code    NaN
postal_code    NaN
Name: 282, dtype: object Berlin",,,,,Standard Bakery,Fully Accessible,"Mo-Sa 07:00-18:00; PH,Su off",False,,52.513432800000004,13.517831400000002,Lichtenberg,Friedrichsfelde,11011011,1101,OSM
1234657651,Schnell Familienbäckerei,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 283, dtype: object Berlin",,,,,outdoor_seating,Fully Accessible,"Mo-Fr 04:30-18:00; Sa,Su 07:30-15:00",True,,52.513762299999996,13.5196995,Lichtenberg,Friedrichsfelde,11011011,1101,OSM
1237776959,Mert,artisanal,False,,"Hobrechtstraße 38, postal_code    NaN
postal_code    NaN
Name: 284, dtype: object Berlin",Hobrechtstraße,38,,+49 30 6232405,outdoor_seating,Not Specified,Mo-Sa 06:00-18:00; Su 06:00-16:00,True,,52.4931839,13.425699999999999,Neukölln,Neukölln,11008008,0801,OSM
1241893971,BioBackHaus,artisanal,False,,"Schönhauser Allee 70 E, postal_code    10437
postal_code      NaN
Name: 285, dtype: object Berlin",Schönhauser Allee,70 E,10437,+49 30 40003861,outdoor_seating,Fully Accessible,Mo-Fr 07:00-20:00; Sa 07:00-18:00; Su 08:00-13:00,True,,52.547985700000005,13.4138617,Pankow,Prenzlauer Berg,11003003,0301,OSM
1243807194,Asmen Backshop,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 286, dtype: object Berlin",,,,,outdoor_seating,Fully Accessible,"Mo-Fr 06:00-21:00, Sa 07:00-21:00, Su 21:00-19:00",True,,52.51550699999999,13.450246000000002,Friedrichshain-Kreuzberg,Friedrichshain,11002002,0201,OSM
1254060371,Thürmann,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 287, dtype: object Berlin",,,,,Standard Bakery,Fully Accessible,,,,52.5889829,13.2845767,Reinickendorf,Tegel,11012012,1202,OSM
1254063156,Röttgen,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 288, dtype: object Berlin",,,,,Standard Bakery,Not Specified,"PH,Mo-Su 09:00-18:00",True,,52.5892439,13.283642900000002,Reinickendorf,Tegel,11012012,1202,OSM
1254070984,Bäcker Wiedemann,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 289, dtype: object Berlin",,,,,Standard Bakery,Not Specified,"Mo-Fr 06:30-18:00, Sa 06:30-14:00, Su 07:00-11:00",True,https://baecker-wiedemann.de/,52.588747299999994,13.284996600000001,Reinickendorf,Tegel,11012012,1202,OSM
