name,poi_type,brand,operator,opening_hours,address,latitude,longitude,district,district_id,neighborhood,neighborhood_id
unknown gas station,charging_station,,,,,52.5671712,13.351622599999999,Reinickendorf,12,Reinickendorf,Reinickendorf
unknown gas station,charging_station,,E.ON,24/7,,52.45111510000001,13.6241362,Treptow-Köpenick,09,Friedrichshagen,Friedrichshagen
unknown gas station,charging_station,,,,,52.480370499999985,13.434829799999997,Neukölln,08,Neukölln,Neukölln
unknown gas station,charging_station,,,,,52.480870599999996,13.431804099999999,Neukölln,08,Neukölln,Neukölln
unknown gas station,charging_station,,Berliner Stadtwerke,24/7,,52.50629609999999,13.228064399999997,Charlottenburg-Wilmersdorf,04,Westend,Westend
unknown gas station,charging_station,ubitrcity,,,,52.4509578,13.147206299999999,Spandau,05,Kladow,Kladow
unknown gas station,charging_station,,Land Berlin,,,52.4879026,13.443217100000002,Neukölln,08,Neukölln,Neukölln
unknown gas station,charging_station,,,,,52.4510745,13.563620999999998,Treptow-Köpenick,09,Köpenick,Köpenick
unknown gas station,charging_station,,,,,52.45110789999999,13.563627699999998,Treptow-Köpenick,09,Köpenick,Köpenick
unknown gas station,charging_station,,,,,52.451141199999995,13.5636345,Treptow-Köpenick,09,Köpenick,Köpenick
unknown gas station,charging_station,,,,,52.4511745,13.5636412,Treptow-Köpenick,09,Köpenick,Köpenick
unknown gas station,charging_station,,,,,52.45120779999999,13.5636479,Treptow-Köpenick,09,Köpenick,Köpenick
unknown gas station,charging_station,,,,,52.451241100000004,13.563654699999999,Treptow-Köpenick,09,Köpenick,Köpenick
unknown gas station,charging_station,,Lidl,24/7,,52.511548999999995,13.4926728,Lichtenberg,11,Lichtenberg,Lichtenberg
unknown gas station,charging_station,,,,,52.44931109999999,13.3063715,Steglitz-Zehlendorf,06,Lichterfelde,Lichterfelde
unknown gas station,charging_station,,,,,52.5135788,13.489917299999998,Lichtenberg,11,Lichtenberg,Lichtenberg
unknown gas station,charging_station,Qwello,Qwello,,,52.52918499999999,13.335834299999998,Mitte,01,Moabit,Moabit
unknown gas station,charging_station,,Qwello,,,52.431659399999994,13.344927999999998,Steglitz-Zehlendorf,06,Lankwitz,Lankwitz
unknown gas station,charging_station,EZE,EZE,,,52.46477209999998,13.5056421,Treptow-Köpenick,09,Oberschöneweide,Oberschöneweide
unknown gas station,charging_station,EZE,EZE,,,52.4611463,13.5247316,Treptow-Köpenick,09,Oberschöneweide,Oberschöneweide
unknown gas station,charging_station,EZE,EZE,,,52.4601697,13.5295928,Treptow-Köpenick,09,Oberschöneweide,Oberschöneweide
unknown gas station,charging_station,EZE,EZE,,,52.465896799999996,13.4903867,Treptow-Köpenick,09,Baumschulenweg,Baumschulenweg
unknown gas station,charging_station,,,,,52.47596029999998,13.448299499999997,Neukölln,08,Neukölln,Neukölln
unknown gas station,charging_station,,,,,52.47592949999999,13.4483628,Neukölln,08,Neukölln,Neukölln
ubitricity,charging_station,ubitricity,ubitricity,,,52.42885149999999,13.2540757,Steglitz-Zehlendorf,06,Zehlendorf,Zehlendorf
unknown gas station,charging_station,,Berliner Stadtwerke,,,52.538998,13.1993861,Spandau,05,Spandau,Spandau
unknown gas station,charging_station,,,,,52.446680799999996,13.508934,Treptow-Köpenick,09,Johannisthal,Johannisthal
unknown gas station,charging_station,,Kaufland,,,52.409547499999995,13.381688899999999,Tempelhof-Schöneberg,07,Marienfelde,Marienfelde
unknown gas station,charging_station,Shell Recharge Solutions,Shell Recharge Solutions,,,52.4380269,13.5635794,Treptow-Köpenick,09,Köpenick,Köpenick
unknown gas station,charging_station,,Berliner Stadtwerke,,,52.51646879999999,13.2939634,Charlottenburg-Wilmersdorf,04,Charlottenburg,Charlottenburg
unknown gas station,charging_station,,,,,52.4327095,13.203446699999999,Steglitz-Zehlendorf,06,Nikolassee,Nikolassee
unknown gas station,charging_station,,,,,52.433119899999994,13.2027853,Steglitz-Zehlendorf,06,Nikolassee,Nikolassee
unknown gas station,charging_station,,,,,52.4333926,13.202358299999998,Steglitz-Zehlendorf,06,Nikolassee,Nikolassee
unknown gas station,charging_station,,,,,52.4329586,13.203049700000001,Steglitz-Zehlendorf,06,Nikolassee,Nikolassee
unknown gas station,charging_station,Shell Recharge Solutions,Shell Recharge Solutions,,,52.43808199999999,13.563650499999998,Treptow-Köpenick,09,Köpenick,Köpenick
unknown gas station,charging_station,,Berliner Stadtwerke,,,52.54160379999999,13.415311999999998,Pankow,03,Prenzlauer Berg,Prenzlauer Berg
unknown gas station,charging_station,Aral pulse,Aral,,,52.5638533,13.407678499999998,Pankow,03,Pankow,Pankow
unknown gas station,charging_station,,TotalEnergies,,,52.49645629999999,13.386134999999998,Friedrichshain-Kreuzberg,02,Kreuzberg,Kreuzberg
unknown gas station,charging_station,EZE,EZE,,,52.45345219999999,13.5767881,Treptow-Köpenick,09,Köpenick,Köpenick
unknown gas station,charging_station,,Berliner Stadtwerke,,,52.511987599999976,13.458983799999999,Friedrichshain-Kreuzberg,02,Friedrichshain,Friedrichshain
unknown gas station,charging_station,,,,,52.428088,13.350829999999998,Steglitz-Zehlendorf,06,Lankwitz,Lankwitz
unknown gas station,charging_station,,Qwello,,,52.45758529999999,13.329774399999998,Steglitz-Zehlendorf,06,Steglitz,Steglitz
unknown gas station,charging_station,,Berliner Stadtwerke,,,52.51131389999999,13.4455784,Friedrichshain-Kreuzberg,02,Friedrichshain,Friedrichshain
unknown gas station,charging_station,,Qwello,24/7,"Hanns-Eisler-Straße 36, 10409",52.54330639999999,13.447921799999998,Pankow,03,Prenzlauer Berg,Prenzlauer Berg
unknown gas station,charging_station,,EZE,24/7,"Alt-Tegel 22, 13507",52.58865839999999,13.278976899999998,Reinickendorf,12,Tegel,Tegel
Aral Tankstelle,charging_station,Aral pulse,Aral,24/7,,52.5846109,13.287891699999998,Reinickendorf,12,Tegel,Tegel
unknown gas station,charging_station,,EnBW Energie Baden-Württemberg AG,,,52.40865329999999,13.372348600000002,Tempelhof-Schöneberg,07,Marienfelde,Marienfelde
unknown gas station,charging_station,,,,,52.42452740000001,13.3230979,Steglitz-Zehlendorf,06,Lichterfelde,Lichterfelde
unknown gas station,charging_station,,EZE,,,52.44474179999999,13.505370999999998,Treptow-Köpenick,09,Johannisthal,Johannisthal
unknown gas station,charging_station,,Shell Recharge Solutions,,,52.492701100000005,13.3315787,Charlottenburg-Wilmersdorf,04,Wilmersdorf,Wilmersdorf
unknown gas station,charging_station,,EZE,,,52.49331389999999,13.425309899999998,Neukölln,08,Neukölln,Neukölln
unknown gas station,charging_station,,,,,52.4903055,13.428082299999998,Neukölln,08,Neukölln,Neukölln
unknown gas station,charging_station,qwello,Qwello,,,52.49082249999999,13.513832199999998,Lichtenberg,11,Karlshorst,Karlshorst
unknown gas station,charging_station,qwello,Qwello,,,52.490814099999994,13.513797399999998,Lichtenberg,11,Karlshorst,Karlshorst
unknown gas station,charging_station,,Berliner Stadtwerke,,,52.4134934,13.324514999999998,Steglitz-Zehlendorf,06,Lichterfelde,Lichterfelde
unknown gas station,charging_station,,,,,52.52088320000001,13.324564699999998,Charlottenburg-Wilmersdorf,04,Charlottenburg,Charlottenburg
unknown gas station,charging_station,,,,,52.52086919999999,13.3244893,Charlottenburg-Wilmersdorf,04,Charlottenburg,Charlottenburg
unknown gas station,charging_station,Eneco,Eneco,,,52.4882948,13.415096899999998,Friedrichshain-Kreuzberg,02,Kreuzberg,Kreuzberg
ubitricity,charging_station,ubitricity,ubitricity,24/7,,52.426983899999996,13.3617503,Steglitz-Zehlendorf,06,Lankwitz,Lankwitz
ubitricity,charging_station,ubitricity,ubitricity,24/7,,52.4267131,13.3615736,Steglitz-Zehlendorf,06,Lankwitz,Lankwitz
ubitricity,charging_station,ubitricity,ubitricity,24/7,,52.4259056,13.361341899999998,Steglitz-Zehlendorf,06,Lankwitz,Lankwitz
unknown gas station,charging_station,,,24/7,,52.5206399,13.1855543,Spandau,05,Wilhelmstadt,Wilhelmstadt
unknown gas station,charging_station,,Lidl,,,52.4583112,13.375727099999999,Tempelhof-Schöneberg,07,Tempelhof,Tempelhof
unknown gas station,charging_station,,,,,52.4553151,13.438784799999999,Neukölln,08,Britz,Britz
unknown gas station,charging_station,,,,,52.5408537,13.218844899999999,Spandau,05,Haselhorst,Haselhorst
unknown gas station,charging_station,,,,,52.5406591,13.2194454,Spandau,05,Haselhorst,Haselhorst
unknown gas station,charging_station,,Berliner Stadtwerke,,,52.531074499999995,13.4450091,Pankow,03,Prenzlauer Berg,Prenzlauer Berg
unknown gas station,charging_station,,Vattenfall,,,52.5664706,13.3454892,Reinickendorf,12,Reinickendorf,Reinickendorf
unknown gas station,charging_station,E.ON Drive,E.ON,,,52.44413149999998,13.568069099999999,Treptow-Köpenick,09,Köpenick,Köpenick
unknown gas station,charging_station,,,24/7,13507,52.588183,13.2811877,Reinickendorf,12,Tegel,Tegel
unknown gas station,charging_station,,Berliner Stadtwerke,,,52.5149731,13.443399899999998,Friedrichshain-Kreuzberg,02,Friedrichshain,Friedrichshain
unknown gas station,charging_station,,Qwello,,,52.5139085,13.441444399999998,Friedrichshain-Kreuzberg,02,Friedrichshain,Friedrichshain
unknown gas station,charging_station,,EZE,,,52.5667583,13.3634344,Reinickendorf,12,Reinickendorf,Reinickendorf
ubitricity,charging_station,ubitricity,ubitricity,,,52.550665099999996,13.569304999999998,Marzahn-Hellersdorf,10,Marzahn,Marzahn
ubitricity,charging_station,ubitricity,ubitricity,,,52.5505586,13.569917999999998,Marzahn-Hellersdorf,10,Marzahn,Marzahn
unknown gas station,charging_station,,,,,52.54742699999999,13.573327899999999,Marzahn-Hellersdorf,10,Marzahn,Marzahn
unknown gas station,charging_station,,Berliner Stadtwerke,,,52.51520099999999,13.384412099999999,Mitte,01,Mitte,Mitte
unknown gas station,charging_station,,,,,52.4737778,13.4435534,Neukölln,08,Neukölln,Neukölln
unknown gas station,charging_station,,,,,52.47382739999999,13.443551899999997,Neukölln,08,Neukölln,Neukölln
unknown gas station,charging_station,,Monta,,,52.53500079999999,13.494586799999999,Lichtenberg,11,Alt-Hohenschönhausen,Alt-Hohenschönhausen
unknown gas station,charging_station,,Monta,,,52.53500259999999,13.4946431,Lichtenberg,11,Alt-Hohenschönhausen,Alt-Hohenschönhausen
unknown gas station,charging_station,,,,,52.435108699999994,13.546832999999998,Treptow-Köpenick,09,Adlershof,Adlershof
unknown gas station,charging_station,,,,,52.4350821,13.5467618,Treptow-Köpenick,09,Adlershof,Adlershof
unknown gas station,charging_station,,,,,52.527966500000005,13.457723299999998,Lichtenberg,11,Fennpfuhl,Fennpfuhl
ubitricity,charging_station,ubitricity,ubitricity,,,52.540914599999994,13.197243,Spandau,05,Spandau,Spandau
ubitricity,charging_station,ubitricity,ubitricity,,,52.5402727,13.197778399999999,Spandau,05,Spandau,Spandau
ubitricity,charging_station,ubitricity,ubitricity,,,52.54050279999999,13.1979102,Spandau,05,Spandau,Spandau
unknown gas station,charging_station,,Jnitricity,,,52.540220100000006,13.198112299999998,Spandau,05,Spandau,Spandau
unknown gas station,charging_station,,EZE,,,52.53674589999999,13.407906799999997,Pankow,03,Prenzlauer Berg,Prenzlauer Berg
