addr_city,addr_housenumber,addr_postcode,addr_street,capacity_raw,coord_raw,entity_type,lat,lon,name,name_key,operator,owner,phone,source,street,street_norm,website,wikidata_id
Berlin,15,12157,Poschingerstraße,,Point(13.3217753 52.46348288),cinema,52.46348288,13.3217753,Bismarck-Lichtspiele,bismarck-lichtspiele,,,,wikidata,"Poschingerstraße 15, 12157 Berlin","Poschingerstraße 15, 12157 Berlin",,Q47053869
Berlin,132,12165,Albrechtstraße,,Point(13.3216841 52.45747679),cinema,52.45747679,13.3216841,"Deutsches Theater, Steglitz",deutsches-theater-steglitz,,,,wikidata,"Albrechtstraße 132, 12165 Berlin","Albrechtstraße 132, 12165 Berlin",,Q47053909
Berlin,92,12163,Schloßstraße,,Point(13.3259983 52.4581095),cinema,52.4581095,13.3259983,Filmburg,filmburg,,,,wikidata,"Schloßstraße 92, 12163 Berlin","Schloßstraße 92, 12163 Berlin",,Q47053979
Berlin,10,12163,Schloßstraße,,Point(13.325972222 52.462916666),cinema,52.462916666,13.325972222,Flora-Lichtspiele,flora-lichtspiele,,,,wikidata,"Schloßstraße 10, 12163 Berlin","Schloßstraße 10, 12163 Berlin",,Q47054011
Berlin,10,12163,Schloßstraße,,Point(13.34915409 52.44949507),cinema,52.44949507,13.34915409,Globus-Palast Südende,globus-palast-s-dende,,,,wikidata,"Schloßstraße 10, 12163 Berlin","Schloßstraße 10, 12163 Berlin",,Q47054042
Berlin,23,12169,Steglitzer Damm,,Point(13.3243931 52.4510876),cinema,52.4510876,13.3243931,Häsi-Lichtspiele,h-si-lichtspiele,,,,wikidata,"Steglitzer Damm 23, 12169 Berlin","Steglitzer Damm 23, 12169 Berlin",,Q47054074
Berlin,7,12163,Kieler Straße,,Point(13.32515481 52.45809647),cinema,52.45809647,13.32515481,Laterna-Filmtheater,laterna-filmtheater,,,,wikidata,"Kieler Straße 7, 12163 Berlin","Kieler Straße 7, 12163 Berlin",,Q47054157
Berlin,21,14195,Breitenbachplatz,,Point(13.3217145 52.4659952),cinema,52.4659952,13.3217145,Lida-Lichtspiele,lida-lichtspiele,,,,wikidata,"Breitenbachplatz 21, 14195 Berlin","Breitenbachplatz 21, 14195 Berlin",,Q47054181
Berlin,31,12163,Schloßstraße,,Point(13.32195871 52.4584128),cinema,52.4584128,13.32195871,Metropol-Lichtbild-Theater,metropol-lichtbild-theater,,,,wikidata,"Schloßstraße 31, 12163 Berlin","Schloßstraße 31, 12163 Berlin",,Q47054294
Berlin,91,12167,Albrechtstraße,,Point(13.334293 52.4521352),cinema,52.4521352,13.334293,Palast-Theater am Stadtpark,palast-theater-am-stadtpark,,,,wikidata,"Albrechtstraße 91, 12167 Berlin","Albrechtstraße 91, 12167 Berlin",,Q47054321
Berlin,49,12167,Albrechtstraße,,Point(13.317916 52.44849801),cinema,52.44849801,13.317916,Park-Lichtspiele,park-lichtspiele,,,,wikidata,"Albrechtstraße 49, 12167 Berlin","Albrechtstraße 49, 12167 Berlin",,Q47054345
Berlin,49,14109,Königstraße,,Point(13.25970385 52.41839163),cinema,52.41839163,13.25970385,Wannsee-Lichtspiele,wannsee-lichtspiele,,,,wikidata,"Königstraße 49, 14109 Berlin","Königstraße 49, 14109 Berlin",,Q47055006
