id,name,artwork_type,artist_name,street,neighborhood_id,district_id,postal_code,material,start_date,image,wikidata,wikimedia_commons,latitude,longitude
12914372277,hasen-haus,installation,sergej alexander dott,,0302,11003003,,,2006,,Q134888541,file:tierfiguren wohnanlage obersteiner weg gustav-adolf-straße berlin-weißensee 07.jpg,52.5611075,13.4505703
12914372278,schmetterlings-haus,installation,sergej alexander dott,,0302,11003003,,,2006,,Q134892109,file:tierfiguren wohnanlage obersteiner weg gustav-adolf-straße berlin-weißensee 08.jpg,52.5609218,13.451006
12914372279,chaussee-haus,installation,sergej alexander dott,,0302,11003003,,,2006,,Q134892125,file:gustav-adolf-str obersteiner weg weißensee 110518 ama fec (45s).jpg,52.5610823,13.45142
12921229972,junges paar,sculpture,rudolf hilscher,,0909,11009009,,bronze,1978,,,,52.4618721,13.5486567
12921848962,sitzender bär,sculpture,gerhard thieme,,0909,11009009,,bronze,,,,,52.462336,13.5415596
12944701904,erzengel michael,statue,august kiß,,0101,11001001,,,1852,file:sankt.michael.glockenturm.p1056520.jpg,Q126520981,"category:statue of saint michael (berlin, st. michael)",52.5069893,13.4191535
12945442925,putten,statue,gerhard bensch,,1101,11011011,,sandstone,1956,,,,52.5034494,13.5241516
12945442926,putten,statue,gerhard bensch,,1101,11011011,,sandstone,1956,,,,52.5034889,13.5243416
12945442928,tierfabeln,installation,walter sutkowski,,1101,11011011,,bronze,1964,,,,52.499806,13.5293768
12945442929,kindergruppe mit fisch,sculpture,walter lerche,,1101,11011011,,bronze,1957,,,,52.4998664,13.5299958
12945442930,knabe,sculpture,margit schötschel-gabriel,,1101,11011011,,bronze,1980,,,,52.5056434,13.5260621
12945442940,buckelzirpe,statue,klaus tilke,,1101,11011011,,terracotta,1966,,,,52.5045774,13.5286218
12945442941,löwe mit wappen,statue,unknown,,1101,11011011,,sandstone,1871-1914,,,,52.5001913,13.5343512
12946117753,pfeil,sculpture,klaus schitthelm,,0309,11003003,,,,,,,52.6606308,13.4838412
12946135820,"""besiedelt""",sculpture,jutta schölzl,,0309,11003003,,,,,,,52.6584801,13.4833614
12950280528,öffnung flora,sculpture,uli mathes,,1005,11010010,,sandstone,2000,,Q108535367,file:skulptur peter-weiss-gasse 1 (helld) öffnung flora&uli mathes&2000.jpg,52.5372409,13.6056313
