geometry,artwork_type,material,name,tourism,image,wheelchair,wikidata,wikipedia,artist_name,name:da,name:en,start_date,subject:wikidata,subject:wikipedia,wikimedia_commons,source,toilets:wheelchair,website,heritage,heritage:operator,historic,image:0,lda:criteria,name:de,name:el,name:fr,name:he,name:lb,name:lt,name:ru,name:zh,ref:lda,statue,artist:wikidata,description,name:nl,note,memorial,description:de,addr:floor,artist:wikipedia,level,opening_hours,amenity,date,display,height,inscription,fenced,alt_name,architect,heritage:website,loc_name,direction,name:be,year,fountain,operational_status,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,contact:phone,contact:website,check_date,indoor,phone,support,visibility,old_name,man_made,format,was:image,layer,check_date:opening_hours,description:fr,drinking_water,end_date,natural,operator,sponsor,weight,width,name:pl,addr:full,colour,drinking_water:legal,emergency,network,pump,pump:status,pump:style,ref,wheelchair:description,access,url,bench,shelter_type,animal,artwork:group,name:ar,construction_date,fixme,aircraft:type,seamark:landmark:category,seamark:landmark:conspicuity,seamark:type,name:signed,opening_hours:signed,owner,min_height,reg_name,description:location,lit,location,name:it,note:en,wikimedia_commons:path,inscription:url,covered,leisure,highway,flickr,memorial:conflict,name:es,name:km,source:artist_name,sculpture,artwork_subject,inscription:de,inscription:en,inscription:tr,description:url,board_type,information,playground:theme,mapillary,buried:wikidata,map_location,stone,artwork_group,name:cs,description:en,brand,playground,name:tr,subject,inscription:zh,rer,detail,utility,operator:wikidata,survey:date,ref:schlossgutshofbritz,year_of_construction,denotation,type,contact:facebook,artist:website,alt_name:en,panoramax,official_name,addr:housename,building,building:levels,barrier,smoothness,surface,tunnel,area,name:ja,min_level,roof:shape,incline,ramp,water,backrest,power,ref:signed,website:de,geoglyph:language,handrail,step_count,tactile_paving,tactile_writing:braille:de,tactile_writing:embossed_printed_letters:de,building:colour,building:material,building:part
POINT (13.4548054 52.5035684),statue,bronze,Johannes Zwingli,artwork,,,Q129254943,,Martin Götze,,,1907,,,"File:Zwingli-Kirche, Rudolfstraße Ecke Danneckerstraße, Berlin-Friedrichshain (6344047053).jpg",,,,,,,,,,,,,,,,,,,Q1698636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4100287 52.5202568),sculpture,,,artwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bear,berlin_bears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.2943636 52.5410749),sculpture,,Bär mit spielenden Kindern,artwork,,,,,Vincenz Repnik,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,Replik (Der linke Bär war seit 1945 verschollen und wurde 2011 durch eine Replik ersetzt.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3150553 52.5047538),sculpture,,Jim Knopf,artwork,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3150183 52.5047851),sculpture,,Lukas der Lokomotivführer,artwork,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4625287 52.5557264),statue,,Junger Arbeiter,artwork,,,Q111142712,,Christa Sammler,,,,,,"Category:Junger Arbeiter (Christa Sammler, Berlin-Weißensee)",survey,,,,,,,,,,,,,,,,,,Q23893758,,,,,,0,de:Christa Sammler,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3622601 52.494378),mural,,,artwork,,,Q113805546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3223327 52.5052299),mural,,Through the Looking Glass,artwork,,,,,Ute Lindner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3071424 52.5150006),sculpture,bronze,,artwork,,,Q123158053,,Dietrich Arlt-Aeras,,,1983,,,File:Skulptur Richard-Wagner-Str 30 (Charl) Menschendarstellung&Dietrich Arlt-Aeras&1983.jpg,,,,,,,,,,,,,,,,,,,Q60318691,Menschendarstellung um eine in Hüfthöhe angebrachte waagerechte Achse drehbar befestigt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4151499 52.5127787),statue,wood,,artwork,,,,,,,,,,,File:Sculpture bear Köllnischer Park Berlin-Mitte.jpg,,,,,,,,,,,,,,,,,,,,Hölzerner Bär auf den Spielplatz im Sandkasten.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3035943 52.4870909),statue,,Klinker-Widder,artwork,,,Q114815571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.2576046 52.4251071),sculpture,bronze,Pan mit Doppelflöte,artwork,,yes,Q78358252,,Ursula Hanke-Förster,,,1962,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.2644785 52.4270384),sculpture,copper,Schwermütige Frauen,artwork,https://commons.wikimedia.org/wiki/File:Gottlieb_Elster_-_Mutter_Erde_fec.jpg,,,,Gottlieb Elster,,,,,,,,,,,,,,,,,,,,,,,,,Q1232061,,,,,,,de:Gottlieb Elster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3777021 52.51627),statue,,Quadriga mit Victoria,artwork,,no,,,Johann Gottfried Schadow,,Quadriga with Victoria,1793,,,,,no,,,,,,,Quadriga mit Victoria,,Quadrige de la Victoire,,,,Квадрига Виктория,,,,,,Quadriga met Victoria,"Das ist nicht das Brandenburger Tor (welches separat gemappt wurde), sondern die darauf befindliche Statue der Quadriga. Bitte hierfür nicht den Namen ""Brandenburger Tor"" vergeben.",,,,,,,,,,26,,,,,,,east,Квадрыга Вікторыя,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,roof,Quadriga con Vittoria,This is NOT the Brandenburg Gate (which is mapped separately) but the Quadriga on top. Please do not name this artwork Brandenburg Gate etc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3461441 52.4643053),sculpture,,Skulpturengarten im AVK,artwork,,,Q2293079,de:Skulpturengarten AVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.593739 52.440117),relief,sandstone;granite,Lebensfreude,artwork,,,,,Karl Blümel,,,1989,,,,https://www.berlin.de/ba-treptow-koepenick/_assets/aemter-und-se/weiterbildung-und-kultur/kultur/pdf/treptow-koepenick-verzeichnis-kunst-im-oeffentlichen-raum_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3513236 52.5061827),sculpture,,Quelle (Fluss Stationen),artwork,,no,Q110518833,,Susanne Specht,,,,,,Category:Quellstein (Susanne Specht),,,,,,,,,,,,,,,,,,,,,,"2001, granit, 100 x 250 x 100 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.350077 52.5067251),sculpture,stone,Wasserstein (Fluss Stationen),artwork,,no,,,Susanne Specht,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1988, granit, 100 x 200 x 250 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3487943 52.5072177),sculpture,,Wassertor (Fluss Stationen),artwork,,no,Q110517852,,Susanne Specht,,,,,,Category:Wassertor (Susanne Specht),,,,,,,,,,,,,,,,,,,,,,"2001, granit, 250 x 120 x 320 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4491905 52.4898944),,,Kunstaustellungsraum Björn Saul,artwork,,,,,Björn Saul,,,,,,,,,http://bjoernsaul.blogspot.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3088998 52.5120508),sculpture,bronze,Skulptur für Götz Friedrich,artwork,https://commons.wikimedia.org/wiki/File:Denkmal_Bismarckstr_35_(Charl)_G%C3%B6tz_Friedrich2.jpg,,Q121379250,,Günther Uecker,,,2008,,,Category:Skulptur für Götz Friedrich (Günther Uecker),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4348979 52.5204639),,,,artwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.6245661 52.5297925),sculpture,steel,Der Betrachter,artwork,https://commons.wikimedia.org/wiki/File:Riesaer_Str_Hellersdorf_2012-02-16_AMA_fec_(2).JPG,,Q108537805,,Frank Dornseif,,,1996,,,Category:Der Betrachter (Frank Dornseif),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.6235737 52.5299004),sculpture,steel,Der Zeichner,artwork,https://commons.wikimedia.org/wiki/File:Skulptur_Der_Zeichner_Berlin_1v2.jpg,,Q108537843,,Frank Dornseif,,,1995,,,Category:Der Zeichner (Frank Dornseif),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5018801 52.5173182),sculpture,bronze,Mädchen mit Apfel,artwork,,,Q111143531,,Christa Sammler,,,,,,"Category:Mädchen mit Apfel (Christa Sammler, Berlin-Lichtenberg)",,,,,,,,,,,,,,,,,,,,Bronze: Sitzendes Mädchen mit Brötchen (Mädchen mit Apfel?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4938738 52.5162765),mural,,Lichtenberg um 1780,artwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4958492 52.5205973),statue,concrete,Homunkulus,artwork,https://commons.wikimedia.org/wiki/File:Skulptur_Bornitzstr_101_(Liber)_Homunkulus.jpg,,Q118955043,,,,,,,,"Category:Homunkulus (Bornitzstraße, Berlin-Lichtenberg)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4759087 52.6663664),,,,artwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.1953794 52.5693298),sculpture,steel,Offene Berührung,artwork,,,Q116888253,,Volkmar Haase,,,,,,"Category:Offene Berührung (Evangelisches Johannesstift Berlin, Volkmar Haase)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.1948469 52.5696928),sculpture,,Samariterbrunnen,artwork,https://commons.wikimedia.org/wiki/File:Samariterbrunnen_Rolf_F%C3%A4sser.jpg,,Q123183254,,Rolf Fässer,,,1999,,,Category:Samariterbrunnen (Rolf Fässer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3224662 52.4844982),sculpture,,Das Ding,artwork,https://commons.wikimedia.org/wiki/File:Susanne_Ri%C3%A9e_-_Das_Ding_01.jpg,,Q110801565,,Susanne Riée,,,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.1930908 52.5682672),sculpture,,Woge auf Kyanit,artwork,,,Q116887279,,Volkmar Haase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.194593 52.5691885),sculpture,steel,Waage,artwork,,,Q116884365,,Volkmar Haase,,,,,,"Category:Woge mit zwei Kugeln (Evangelisches Johannesstift Berlin, Volkmar Haase)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.6075369 52.5139325),sculpture,,Liebespaar,artwork,,,Q108537197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4022758 52.5243118),graffiti,,Dead Chicken Alley,artwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49-30-30872573,,,,,,,,,,,,,Schwarzenberg e.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4229655 52.499737),mural,,Cosmonaut,artwork,File:Astronaut (DSC 5138) (15473672695).jpg,,Q18915993,de:Astronaut Cosmonaut,Victor Ash,,,2007,,,Category:Astronaut Cosmonaut,,,https://www.victorash.com,,,,,,,,,,,,,,,,Q2866473,,,,,,,,,,,,,,,,,,,,,,,,,Berlin,,195,10999,Oranienstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.441792 52.5178911),mosaic,,,artwork,,,,,Walter Womacka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3803086 52.5165098),mural,,,artwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Historische Zitate zur Erinnerung an die Teilung Berlins,,,,,,,-2;-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3193556 52.5016097),sculpture,,Pyramide,artwork,,yes,Q110965650,,Josef Erben,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.1652224 52.4287677),sculpture,,Fischotter mit Fisch,artwork,https://commons.wikimedia.org/wiki/File:Brunnen_Colomierstr_3_%28Wanns%29_Fischotter%26August_Gaul%261897.jpg,,,,August Gaul,,,,,,,,,,,,,,,,,,,,,,,,,Q653742,,,,,,,de:August Gaul,,,fountain,,,,,,,,,,,,1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4027414 52.5186817),sculpture,bronze,,artwork,https://photos.app.goo.gl/ftqKiC2KDJPebv436,yes,,,,,,1997,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bear,berlin_bears,,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.375053 52.5390107),painting,,Nie wieder Krieg,artwork,,,,,Studentenwohnheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3851656 52.5339732),poster,,,artwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.518326 52.4640781),sculpture,bronze,Venus und Amor,artwork,,,Q109998987,,Peter Christian Breuer,,,1925,,,File:2010-11-12 Berlin-Oberschoenweide Frau und amor - AMA fec (1).JPG,,,https://bildhauerei-in-berlin.de/bildwerk/venus-und-amor-6805/,,,,,,,,,,,,,,,,Q2074124,,,,,,,de:Peter Breuer (Bildhauer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3364182 52.5048226),sculpture,,Spiel mit Marionette,artwork,,,,,Joachim Schmettau,,,1984,,,,,,,,,,,,,,,,,,,,,,,,,Teil des Weltkugelbrunnens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3362995 52.5048695),sculpture,bronze,,artwork,,,,,Joachim Schmettau,,,1984,,,,,,,,,,,,,,,,,,,,,,,,,Teil des Weltkugelbrunnens,,,,,,,,,,,"Ein Mann der sich ergötzt an einer Blume, doch ei wozu das lange Schwert.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4007155 52.5260652),mural,,,artwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3704874 52.5202262),sculpture,,Berlin,artwork,https://photos.app.goo.gl/DtMS5LYtR7U29x4o7,yes,Q67080041,,Eduardo Chillida,,,2000-10,,,Category:Berlin by Chillida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
