id,name,house_number,street,neighborhood_id,district_id,postal_code,website,opening_hours,wheelchair,fee,latitude,longitude
29053886,capitain petzel,45,karl marx allee,0101,11001001,10178,https://www.capitainpetzel.de/,tu-sa 11:00-18:00,limited,True,52.5198483,13.425149264685214
42520703,reinbeckhallen,17,reinbeck straße,0909,11009009,12459,,"th,fr 16:00-20:00; sa,su 11:00-20:00",,True,52.45972585,13.51870545235078
43106241,kunsthalle koidl,34,gervinus straße,0401,11004004,10629,,,,,52.50314535,13.299785302819942
80578271,ateliergemeinschaft meinblau,,fehrbelliner straße,0301,11003003,10119,,,no,,52.53129315,13.410477346217938
96829618,essen und trinken im museum (zimmer f. zeiterweiterung),35,hufeland straße,0301,11003003,10407,,,,,52.53095635,13.434741514106197
101922215,atelierhaus mengerzeile,1-3,menger ziele,0901,11009009,12435,https://www.atelierhaus-mengerzeile.de/haus/home,,,False,52.4887473,13.444034125786594
125668408,dark matter,46,köpenicker chaussee,1112,11011011,10317,https://www.darkmatter.berlin/,"we,th 14:00-22:00; fr 12:00-23:00; sa 11:00-23:00; su 11:00-22:00",yes,True,52.492820699999996,13.492936883931288
125668433,dark matter,,saganer straße,1112,11011011,10317,https://www.darkmatter.berlin/,"we,th 14:00-22:00; fr 12:00-23:00; sa 11:00-23:00; su 11:00-22:00",yes,True,52.492951000000005,13.492665059586383
231008506,kunst-pavillon,,hochtristen weg,0802,11008008,12349,,"apr 09-oct 30 sa,su,ph 14:00-18:00",,False,52.43411855,13.411928694415447
380427033,camaro stiftung,,pohl straße,0104,11001001,10785,,,,,52.5020338,13.363095708167215
871078344,galerie bastian berlin,1,taylor straße,0605,11006006,14195,https://www.bastian-gallery.com/,,,,52.453898800000005,13.271701480433562
1051272400,ausstellungszentrum pyramide,94,riesaer straße,1005,11010010,12627,https://www.kultur-marzahn-hellersdorf.de/ausstellungszentrum-pyramide,,,,52.5315005,13.615677950110676
1174000879,studio183,,budapester straße,0401,11004004,10787,,,,,52.50597415,13.335024970074812
1174000881,galerie slp,,budapester straße,0401,11004004,10787,,,,,52.50582095,13.335492678586913
