id,district_id,name,latitude,longitude,geometry,neighborhood,district,neighborhood_id,address_full,operating_hours,services_offered,contact_phone,contact_website,operator_name,data_source
8538689802773630534,re_ortsteil.0601,Jobcenter Berlin Steglitz-Zehlendorf,5812588.2991907075,385885.774877658,POINT(385885.774877658 5812588.2991907075),Steglitz,Steglitz-Zehlendorf,0601,Birkbuschstraße,"Mo,Tu,Fr 08:00-12:30; Th 08:00-18:00",,,,,OSM_LOR_Wikidata
10026524227803677163,re_ortsteil.0106,Union Sozialer Einrichtungen,5824355.487237646,390066.6938585647,POINT(390066.6938585647 5824355.487237646),Gesundbrunnen,Mitte,0106,Koloniestraße,,,+49 30 4977840,,,OSM_LOR_Wikidata
4663763521269153015,re_ortsteil.0201,A. Eastside Arbeitsvermittlung,5819615.140416722,394430.0863896385,POINT(394430.0863896385 5819615.140416722),Friedrichshain,Friedrichshain-Kreuzberg,0201,Karl-Marx-Allee,,,,,,OSM_LOR_Wikidata
1379268612707339534,re_ortsteil.0101,Jobcenter,5819021.99630498,391578.3515803291,POINT(391578.3515803291 5819021.99630498),Mitte,Mitte,0101,Seydelstraße,,,,,,OSM_LOR_Wikidata
8854976249119470830,re_ortsteil.0102,Job-Point,5820787.921876811,387351.0682955348,POINT(387351.0682955348 5820787.921876811),Moabit,Mitte,0102,Alt-Moabit,Mo-Fr 09:00-18:00,,,,,OSM_LOR_Wikidata
17900113764119674030,re_ortsteil.1001,Jobcenter Marzahn Hellersdorf // Bearbeitungsservice,5820620.108700225,400049.3930017589,POINT(400049.3930017589 5820620.108700225),Marzahn,Marzahn-Hellersdorf,1001,,,,,,,OSM_LOR_Wikidata
3693072167317031349,re_ortsteil.0503,Jobcenter,5821884.530473445,382540.49757921416,POINT(382540.49757921416 5821884.530473445),Siemensstadt,Spandau,0503,Wohlrabedamm,,,,,,OSM_LOR_Wikidata
6114802547159000044,re_ortsteil.0307,HandsNOW,5825811.38048916,392170.66727659287,POINT(392170.66727659287 5825811.38048916),Pankow,Pankow,0307,Ossietzkystraße,Mo-Fr 08:00-18:00,,,,,OSM_LOR_Wikidata
11437380583890518760,re_ortsteil.0503,Jugendberufsagentur Berlin,5821896.534511311,382543.4254335731,POINT(382543.4254335731 5821896.534511311),Siemensstadt,Spandau,0503,Wohlrabedamm,Mo-We 08:00-16:00; Th 08:00-18:00; Fr 08:00-12:30,,,,,OSM_LOR_Wikidata
9699566372199602542,re_ortsteil.0102,Zenjob,5821008.826324371,387636.15804495534,POINT(387636.15804495534 5821008.826324371),Moabit,Mitte,0102,,,,,,,OSM_LOR_Wikidata
