technical_id,key,object_number,district_id,district,neighborhood,green_area_type,playground_name,playground_suffix,year_built,last_renovation_year,area_sqm,dedication,planning_area_number,planning_area_name,net_play_area_sqm,full_address,latitude,longitude,geometry,osm_name,distance_to_osm
00008100_0012dccc,00008100:0012dccc,17333,7,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Hohenfriedbergstr. 25-26,Unknown,,2004.0,2126.0,gewidmet,7200414.0,Hohenfriedbergstraße,1115.0,"Hohenfriedbergstr. 25-26,Hohenfriedbergstraße, Berlin, Germany",52.4856383,13.3647948,POINT (1487762.1516925904 6888415.939795341),,
00008100_0012dcdc,00008100:0012dcdc,17310,7,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Haberlandstr. 2-4,"Landshuter Str. 13-14, Treuchtlinger 7,",1963.0,2010.0,2292.0,gewidmet,7200307.0,Bayerischer Platz,1076.0,"Haberlandstr. 2-4,Bayerischer Platz, Berlin, Germany",52.4907822,13.3378848,POINT (1484766.5441953435 6889356.312821781),,
00008100_0012dcc7,00008100:0012dcc7,17336,7,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Naumannstr. 42/44,"Gustav-Müller-Str. 37, Bolzplatz etc",,,1361.0,gewidmet,7200413.0,Cheruskerstraße,604.0,"Naumannstr. 42/44,Cheruskerstraße, Berlin, Germany",52.4798614,13.363443,POINT (1487611.6700049362 6887359.977077266),,
00008100_0012d7a2,00008100:0012d7a2,18018,7,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Ella-Barowsky-Straße 5-7,"Sachsendamm 88-89,  Bolzplatz etc",2004.0,,1388.0,gewidmet,7200412.0,Schöneberger Linse,856.0,"Ella-Barowsky-Straße 5-7,Schöneberger Linse, Berlin, Germany",52.477763,13.3584941,POINT (1487060.7609769492 6886976.443719989),,
00008100_0012dcd2,00008100:0012dcd2,17326,7,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Herbertstr. 8-9,Feurigstr. 65 (Süd),2004.0,2004.0,853.0,gewidmet,7200410.0,Feurigstraße,596.0,"Herbertstr. 8-9,Feurigstraße, Berlin, Germany",52.4861315,13.3585511,POINT (1487067.1061879245 6888506.098518776),,
00008100_0012d892,00008100:0012d892,17365,7,Tempelhof-Schöneberg,Friedenau,Spielplatz,Dickhardtstr. 16,Unknown,,2004.0,460.0,gewidmet,7300618.0,Ceciliengärten,290.0,"Dickhardtstr. 16,Ceciliengärten, Berlin, Germany",52.4679442,13.334969,POINT (1484441.9588240883 6885182.063507855),,
00008100_0012dcd6,00008100:0012dcd6,17321,7,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Else-Lasker-Schüler-Str. 8,Bolzplatz etc,,,1638.0,gewidmet,7100103.0,Frobenstraße,850.0,"Else-Lasker-Schüler-Str. 8,Frobenstraße, Berlin, Germany",52.5006198,13.356354,POINT (1486822.5261347026 6891155.062719332),,31.20233030872181
00008100_0012d709,00008100:0012d709,00679,7,Tempelhof-Schöneberg,Lichtenrade,Spielplatz,Spirdingseestr. 1,Unknown,,,1192.0,gewidmet,7601547.0,Horstwalder Straße,626.0,"Spirdingseestr. 1,Horstwalder Straße, Berlin, Germany",52.3784569,13.4061397,POINT (1492364.6449074894 6868846.7269539535),,
00008100_0012db6c,00008100:0012db6c,19050,7,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Geßlerstraße,Monumentenstraße 13B,2014.0,2014.0,2103.0,gewidmet,7200414.0,Hohenfriedbergstraße,1948.0,"Geßlerstraße,Hohenfriedbergstraße, Berlin, Germany",52.4860996,13.3677101,POINT (1488086.6814041 6888500.267054141),,
00008100_0012d8fd,00008100:0012d8fd,00659,7,Tempelhof-Schöneberg,Lichtenrade,Spielplatz,Erich-Hermann-Platz,"Das Wünsdorf, Wünsdorfer Str. - Bolzpla",,2010.0,1770.0,gewidmet,7601546.0,Franziusweg,1200.0,"Erich-Hermann-Platz,Franziusweg, Berlin, Germany",52.3890864,13.3938119,POINT (1490992.3204888878 6870785.340278322),,0.1599882676929744
00008100_0012dceb,00008100:0012dceb,17305,7,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Motzstr. 46,Geisbergstr. 43,1964.0,1993.0,1015.0,gewidmet,7100101.0,Wittenbergplatz,550.0,"Motzstr. 46,Wittenbergplatz, Berlin, Germany",52.4969568,13.3454465,POINT (1485608.3087888751 6890485.256720192),,
00008100_0012d72e,00008100:0012d72e,00671,7,Tempelhof-Schöneberg,Mariendorf,Spielplatz,Hollabergweg 69,Unknown,,,1646.0,gewidmet,7601238.0,Marienfelde Nordost,729.0,"Hollabergweg 69,Marienfelde Nordost, Berlin, Germany",52.4232098,13.3854434,POINT (1490060.7433301844 6877011.939072842),,
00008100_0012d896,00008100:0012d896,17360,7,Tempelhof-Schöneberg,Friedenau,Spielplatz,Stubenrauchstr. 6,Unknown,,,686.0,gewidmet,7300516.0,Odenwaldstraße,300.0,"Stubenrauchstr. 6,Odenwaldstraße, Berlin, Germany",52.47064,13.3243781,POINT (1483262.985229046 6885674.679582744),,
00008100_0012d76c,00008100:0012d76c,00673,7,Tempelhof-Schöneberg,Lichtenrade,Spielplatz,Illigstr./ Grenzweg,Bolzplatz etc,,1999.0,1720.0,gewidmet,7601546.0,Franziusweg,1163.0,"Illigstr./ Grenzweg,Franziusweg, Berlin, Germany",52.3943249,13.3861897,POINT (1490143.8210661632 6871740.912156778),,43.34870993223744
00008100_0012d721,00008100:0012d721,00706,7,Tempelhof-Schöneberg,Lichtenrade,Spielplatz,Taunusstr.73,"an der Weilburgstraße, Das Schloss",,,4080.0,gewidmet,7601443.0,Töpchiner Weg,3000.0,"Taunusstr.73,Töpchiner Weg, Berlin, Germany",52.3959951,13.416878,POINT (1493560.0269954747 6872045.602635278),,
00008100_0012dcd7,00008100:0012dcd7,17320,7,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Frobenstr. 28-29,Unknown,,2003.0,2945.0,gewidmet,7100103.0,Frobenstraße,2569.0,"Frobenstr. 28-29,Frobenstraße, Berlin, Germany",52.4997844,13.3599977,POINT (1487228.140963306 6891002.29888497),,47.3780856796981
00008100_0012d759,00008100:0012d759,00672,7,Tempelhof-Schöneberg,Lichtenrade,Spielplatz,Franziusweg 4,Unknown,,1989.0,1373.0,gewidmet,7601546.0,Franziusweg,611.0,"Franziusweg 4,Franziusweg, Berlin, Germany",52.3975905,13.3870087,POINT (1490234.9917291233 6872336.658302499),,38.22906413690136
00008100_0012dcce,00008100:0012dcce,17330,7,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Katzlerstr. 12,Großgörschenstr. 22-24,,2014.0,3025.0,gewidmet,7100206.0,Großgörschenstraße,1171.0,"Katzlerstr. 12,Großgörschenstraße, Berlin, Germany",52.4913533,13.3689801,POINT (1488228.0571574075 6889460.724246636),,
00008100_0012dcd5,00008100:0012dcd5,17322,7,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Maienstr. 1,Unknown,,2007.0,1400.0,gewidmet,7100102.0,Kalckreuthstraße,849.0,"Maienstr. 1,Kalckreuthstraße, Berlin, Germany",52.501071,13.3529153,POINT (1486439.7318017117 6891237.57175769),,46.31995136790031
00008100_0012d7e1,00008100:0012d7e1,17937,7,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Riemenschneider Weg 11,ggü. Peter-Vischer-Straße,1999.0,,885.0,gewidmet,7300619.0,Grazer Platz,554.0,"Riemenschneider Weg 11,Grazer Platz, Berlin, Germany",52.4647535,13.3497853,POINT (1486091.301795529 6884599.051039841),,
00008100_0012d915,00008100:0012d915,00657,7,Tempelhof-Schöneberg,Marienfelde,Spielplatz,Stegerwaldstr. 52,Unknown,,2014.0,1440.0,gewidmet,7601236.0,Marienfelder Allee Nordwest,711.0,"Stegerwaldstr. 52,Marienfelder Allee Nordwest, Berlin, Germany",52.4214507,13.3671559,POINT (1488024.9881423025 6876690.83305547),,21.4272950902435
