id,brand,shop,amenity,operator_original,brand_original,addr:street,addr:housenumber,addr:postcode,level,wheelchair_access,service_copy,service_print,service_app_operated,service_barcode_scanner,service_bluetooth,service_display_operated,service_label_printer,locker_type,service_parcel_mail_in,service_parcel_pickup,note,note_de,description,geometry,latitude,longitude,opening_hours,website,source,last_checked,data_source,operator,district,neighborhood_id,neighborhood
10726153684,Independent Retailer,,parcel_locker,,,,,,,,,,,,,,,,,,,,,POINT (13.6321497 52.4487048),52.4487048,13.6321497,,,,,OpenStreetMap,Unknown,Treptow-Köpenick,0911,Friedrichshagen
10728442150,Independent Retailer,,parcel_locker,amazon.com,Amazon Locker,,,,,,,,,,,,,,no,yes,,,,POINT (13.3979052 52.5419351),52.5419351,13.3979052,24/7,,,,OpenStreetMap,Amazon,Mitte,0106,Gesundbrunnen
10728524897,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,,,,only,,,,,cabinet,yes,yes,,,,POINT (13.2933008 52.4887432),52.4887432,13.2933008,,,,,OpenStreetMap,DHL,Charlottenburg-Wilmersdorf,0403,Schmargendorf
10732181382,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,yes,,,,,,,,cabinet,yes,yes,,,,POINT (13.6058415 52.4901697),52.4901697,13.6058415,,,,,OpenStreetMap,DHL,Marzahn-Hellersdorf,1004,Mahlsdorf
10738529360,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,,,,,,,,,,yes,yes,,,,POINT (13.5123759 52.5110643),52.5110643,13.5123759,,,,,OpenStreetMap,DHL,Lichtenberg,1101,Friedrichsfelde
10742476121,Independent Retailer,,parcel_locker,Amazon,Amazon Locker,,,,,,,,,no,,no,,cabinet,returns_only,yes,,,,POINT (13.5446365 52.4346181),52.4346181,13.5446365,24/7,,,,OpenStreetMap,Amazon,Treptow-Köpenick,0907,Adlershof
10753793601,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,,,,,,,,yes,,yes,yes,,,,POINT (13.3091792 52.518854),52.518854,13.3091792,,,,,OpenStreetMap,DHL,Charlottenburg-Wilmersdorf,0401,Charlottenburg
10753793602,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,,,,,,,,yes,,yes,yes,,,,POINT (13.3093176 52.5189058),52.5189058,13.3093176,,,,,OpenStreetMap,DHL,Charlottenburg-Wilmersdorf,0401,Charlottenburg
10765830331,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,yes,,,,,,,,cabinet,yes,yes,,,,POINT (13.4955272 52.4307147),52.4307147,13.4955272,24/7,,,,OpenStreetMap,DHL,Neukölln,0804,Rudow
10768211370,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,0,yes,,,,,,,,cabinet,yes,yes,,,,POINT (13.5229236 52.4952355),52.4952355,13.5229236,,,survey,,OpenStreetMap,DHL,Lichtenberg,1101,Friedrichsfelde
10772570726,Independent Retailer,,parcel_locker,Amazon,Amazon Hub,,,,,,,,,,,,,cabinet,no,yes,,,,POINT (13.4972232 52.5089335),52.5089335,13.4972232,24/7,,,,OpenStreetMap,Amazon,Lichtenberg,1112,Rummelsburg
10774498728,Independent Retailer,,parcel_locker,,Amazon Locker,,,,,,,,,,,,,,,yes,,,,POINT (13.3838778 52.5913259),52.5913259,13.3838778,,,,,OpenStreetMap,Unknown,Pankow,0312,Rosenthal
10790511651,Independent Retailer,,parcel_locker,Amazon,Amazon Locker,,,,,yes,,,,,,,,,no,yes,,,,POINT (13.5727917 52.4143952),52.4143952,13.5727917,24/7,,,,OpenStreetMap,Amazon,Treptow-Köpenick,0913,Grünau
10793025528,Amazon,,parcel_locker,,Amazon Locker,,,,,,,,,,,,,cabinet,no,yes,,,,POINT (13.311401 52.5137396),52.5137396,13.311401,24/7,,,,OpenStreetMap,Unknown,Charlottenburg-Wilmersdorf,0401,Charlottenburg
10794829537,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,,,,only,no,,,,,yes,,,,,POINT (13.5368711 52.4187928),52.4187928,13.5368711,,,,,OpenStreetMap,DHL,Treptow-Köpenick,0906,Altglienicke
10812720105,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,10365,,,,,yes,,,,,,yes,yes,,,,POINT (13.4971548 52.5185546),52.5185546,13.4971548,24/7,,,,OpenStreetMap,DHL,Lichtenberg,1103,Lichtenberg
10814333872,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,yes,,,,,,,,cabinet,yes,yes,,,,POINT (13.5054534 52.4423247),52.4423247,13.5054534,,,,,OpenStreetMap,DHL,Treptow-Köpenick,0904,Johannisthal
10815749947,Independent Retailer,,parcel_locker,,Amazon Hub,,,,,,,,,,,,,,,,,,,POINT (13.4777653 52.4241761),52.4241761,13.4777653,,,,,OpenStreetMap,Unknown,Neukölln,0805,Gropiusstadt
10815778023,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,yes,,,,,,,,cabinet,yes,yes,,,,POINT (13.4806284 52.4269107),52.4269107,13.4806284,24/7,,,,OpenStreetMap,DHL,Neukölln,0804,Rudow
10819771472,Amazon,,parcel_locker,,Amazon Hub,,,,,,,,,,,,,,,yes,,,,POINT (13.4047628 52.5830649),52.5830649,13.4047628,,,,,OpenStreetMap,Unknown,Pankow,0311,Niederschönhausen
10824443196,Independent Retailer,,parcel_locker,Amazon Hub Locker,,,,,,yes,,,,,,,,,,yes,,,,POINT (13.4149686 52.5562419),52.5562419,13.4149686,24/7,,,,OpenStreetMap,Amazon,Pankow,0307,Pankow
10834238453,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,,,,,,,,,cabinet,yes,yes,,,,POINT (13.4503706 52.5199181),52.5199181,13.4503706,24/7,,,,OpenStreetMap,DHL,Friedrichshain-Kreuzberg,0201,Friedrichshain
10841727638,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,yes,,,,,,,,cabinet,yes,yes,,,,POINT (13.6083887 52.5403576),52.5403576,13.6083887,,,,,OpenStreetMap,DHL,Marzahn-Hellersdorf,1005,Hellersdorf
10859522119,Independent Retailer,,parcel_locker,,Amazon Hub,,,,,,,,,,,,,,,,,,,POINT (13.6473925 52.5215274),52.5215274,13.6473925,,,,,OpenStreetMap,Unknown,Marzahn-Hellersdorf,1004,Mahlsdorf
10863172752,Amazon,,parcel_locker,,Amazon Hub,,,,,,,,,,,,,,,,,,,POINT (13.3247197 52.5620599),52.5620599,13.3247197,24/7,,,,OpenStreetMap,Unknown,Reinickendorf,1201,Reinickendorf
10873544277,Independent Retailer,,parcel_locker,Amazon,Amazon Locker,,,,,,,,,,,,,cabinet,yes,yes,,,,POINT (13.290403 52.4929491),52.4929491,13.290403,,,,,OpenStreetMap,Amazon,Charlottenburg-Wilmersdorf,0404,Grunewald
10873544278,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,,,,only,,,,,cabinet,yes,yes,,,,POINT (13.2902523 52.4929328),52.4929328,13.2902523,,,,,OpenStreetMap,DHL,Charlottenburg-Wilmersdorf,0404,Grunewald
