id,name,category,lat,lon,geometry,district,district_id,neighborhood,neighborhood_id,website,wheelchair
12391286707,Eleonore Rosenthal,memorial,52.4430576,13.4557343,POINT (13.4557343 52.4430576),Neukölln,11008008,Britz,0802,https://www.stolpersteine-berlin.de/de/buschkrugallee/250/eleonore-rosenthal,
12391630122,Elise Poser,memorial,52.4929243,13.4223953,POINT (13.4223953 52.4929243),Friedrichshain-Kreuzberg,11002002,Kreuzberg,0202,https://www.stolpersteine-berlin.de/de/kottbusser-damm/88-89/elise-poser,
12391630123,Fritz Paul Bräuer,memorial,52.4913244,13.4267862,POINT (13.4267862 52.4913244),Neukölln,11008008,Neukölln,0801,https://www.stolpersteine-berlin.de/de/pflugerstr/8/fritz-paul-brauer,
12391630124,Abraham Kahan,memorial,52.4929244,13.4254568,POINT (13.4254568 52.4929244),Neukölln,11008008,Neukölln,0801,https://www.stolpersteine-berlin.de/de/hobrechtstrasse/49/alfred-abraham-endsil-kahan,
12391630125,Wilma Kahan,memorial,52.4929232,13.4254589,POINT (13.4254589 52.4929232),Neukölln,11008008,Neukölln,0801,https://www.stolpersteine-berlin.de/de/hobrechtstrasse/49/wilma-kahan,
12391630126,Gert Kahan,memorial,52.4929257,13.4254547,POINT (13.4254547 52.4929257),Neukölln,11008008,Neukölln,0801,https://www.stolpersteine-berlin.de/de/hobrechtstrasse/49/gert-kahan,
12391630127,Lothar Michaelis,memorial,52.4880763,13.4280584,POINT (13.4280584 52.4880763),Neukölln,11008008,Neukölln,0801,https://www.stolpersteine-berlin.de/de/friedelstrasse/7/lothar-michaelis,
12391630128,Willy Michaelis,memorial,52.4880782,13.4280602,POINT (13.4280602 52.4880782),Neukölln,11008008,Neukölln,0801,https://www.stolpersteine-berlin.de/de/friedelstrasse/7/michaelis-willy,
12391630129,Paula Michaelis,memorial,52.4880764,13.4280618,POINT (13.4280618 52.4880764),Neukölln,11008008,Neukölln,0801,https://www.stolpersteine-berlin.de/de/friedelstrasse/7/paula-michaelis,
12391630130,Else Frieda Besser,memorial,52.4914363,13.4233048,POINT (13.4233048 52.4914363),Friedrichshain-Kreuzberg,11002002,Kreuzberg,0202,https://www.stolpersteine-berlin.de/de/kottbusser-damm/79/else-besser,
12391630131,Siegfried Besser,memorial,52.4914387,13.4233035,POINT (13.4233035 52.4914387),Friedrichshain-Kreuzberg,11002002,Kreuzberg,0202,https://www.stolpersteine-berlin.de/de/kottbusser-damm/79/siegfried-besser,
12391630132,Georg Lichtenstein,memorial,52.495018,13.4231139,POINT (13.4231139 52.495018),Neukölln,11008008,Neukölln,0801,https://www.stolpersteine-berlin.de/de/maybachufer/8/georg-lichtenstein,
12391630133,Flora Goldstein,memorial,52.49502,13.423114,POINT (13.423114 52.49502),Neukölln,11008008,Neukölln,0801,https://www.stolpersteine-berlin.de/de/maybachufer/8/flora-goldstein,
12391630134,Markus Goldstein,memorial,52.4950192,13.4231166,POINT (13.4231166 52.4950192),Neukölln,11008008,Neukölln,0801,https://www.stolpersteine-berlin.de/de/maybachufer/8/markus-goldstein,
12391630135,Selma Meyer,memorial,52.4950221,13.4231141,POINT (13.4231141 52.4950221),Neukölln,11008008,Neukölln,0801,https://www.stolpersteine-berlin.de/de/maybachufer/8/selma-meyer,
12391630136,Lucie Meyer,memorial,52.4950212,13.4231168,POINT (13.4231168 52.4950212),Neukölln,11008008,Neukölln,0801,https://www.stolpersteine-berlin.de/de/maybachufer/8/lucie-meyer,
12391630137,Rosa Meyer,memorial,52.4950203,13.4231194,POINT (13.4231194 52.4950203),Neukölln,11008008,Neukölln,0801,https://www.stolpersteine-berlin.de/de/maybachufer/8/rosa-meyer,
12396708012,Chaim Urbach,memorial,52.5198085,13.4249233,POINT (13.4249233 52.5198085),Mitte,11001001,Mitte,0101,,
12396708013,Tsipora Urbach,memorial,52.5198085,13.4249233,POINT (13.4249233 52.5198085),Mitte,11001001,Mitte,0101,,
12396708014,Julius Urbach,memorial,52.5198085,13.4249233,POINT (13.4249233 52.5198085),Mitte,11001001,Mitte,0101,,
12399974712,Geburtshaus Alexander von Humboldt,memorial,52.5139887,13.3940777,POINT (13.3940777 52.5139887),Mitte,11001001,Mitte,0101,https://www.gedenktafeln-in-berlin.de/gedenktafeln/detail/friedrich-wilhelm-alexander-von-humboldt/236,
12400382436,Bernhard Rothschild,memorial,52.4882731,13.3538709,POINT (13.3538709 52.4882731),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/akazienstrasse/20/bernhard-rothschild,
12400806679,Alfred Fordon,memorial,52.4877256,13.3546459,POINT (13.3546459 52.4877256),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/akazienstr/7a/alfred-fordon,
12402988394,Gertrud Hirschmann,memorial,52.5069914,13.3141691,POINT (13.3141691 52.5069914),Charlottenburg-Wilmersdorf,11004004,Charlottenburg,0401,,
12402988395,Johanna Hirschmann,memorial,52.5069914,13.3141691,POINT (13.3141691 52.5069914),Charlottenburg-Wilmersdorf,11004004,Charlottenburg,0401,,
12404894301,Heiner Müller,memorial,52.497594,13.5206353,POINT (13.5206353 52.497594),Lichtenberg,11011011,Friedrichsfelde,1101,,
12407050943,Gedenkstein für Julie Elisabeth Amalia von Voß,memorial,52.6387148,13.4977922,POINT (13.4977922 52.6387148),Pankow,11003003,Buch,0309,,
12409481677,Martha Trier,memorial,52.4889155,13.3573061,POINT (13.3573061 52.4889155),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/vorbergstr/3/martha-trier,
